id,type,available,mfr,hw,sw,protocol
of:000000000000000c,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000000d,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000000a,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000000b,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000000e,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000000f,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000010,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000011,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000014,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000015,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000012,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000013,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000018,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000019,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000016,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000017,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000001a,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000001d,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000001e,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000001b,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000001c,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:000000000000001f,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000021,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000022,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000020,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000003,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000025,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000004,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000026,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000001,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000023,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000002,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000024,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000007,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000008,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000005,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000027,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000006,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000028,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
of:0000000000000009,SWITCH,True,"Nicira, Inc.",Open vSwitch,3.3.0,
